object	telescope	filter	aperture	utc	mjd	mag	mag_err	zp_mag	zp_mag_err	phase_angle	heliocentric_au	true_anomaly
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-17 07:45:02	59412.32294806111	16.430965857981068	0.02328839898109436	25.8398031367992	0.005	9.050824329458012	6.386862173670583	277.7437805645066
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-17 07:45:02	59412.32294806111	16.803897338388783	0.023287832736968994	25.8398031367992	0.005	9.050824329458012	6.386862173670583	277.7437805645066
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-17 07:50:20	59412.326629061106	16.407627944467883	0.023700792342424393	25.8388031367992	0.005	9.050886286654487	6.386838855441532	277.74402032233877
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-17 07:50:20	59412.326629061106	16.773180846689563	0.019789477810263634	25.8388031367992	0.005	9.050886286654487	6.386838855441532	277.74402032233877
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-17 08:00:53	59412.33395636111	16.759879401682237	0.02099994197487831	25.8378031367992	0.005	9.051009602790915	6.386792439006353	277.7444975813421
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-17 08:00:53	59412.33395636111	16.396395019052843	0.023482633754611015	25.8378031367992	0.005	9.051009602790915	6.386792439006353	277.7444975813421
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-17 08:19:32	59412.346902661106	16.39195170545421	0.02089090459048748	25.8358031367992	0.005	9.051227560133347	6.386710385435026	277.7453412836646
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-17 08:19:32	59412.346902661106	16.762585784433703	0.01973026432096958	25.8358031367992	0.005	9.051227560133347	6.386710385435026	277.7453412836646
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-21 08:20:22	59416.34748796111	16.43948354291759	0.03849947080016136	25.7798031367992	0.005	9.116863968100814	6.361372621413318	278.006994395752
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-21 08:20:22	59416.34748796111	16.78219022321544	0.030729280784726143	25.7798031367992	0.005	9.116863968100814	6.361372621413318	278.006994395752
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-21 08:35:34	59416.358034661105	16.406699706552843	0.08113808929920197	25.4858031367992	0.005	9.117032149728992	6.361305788709945	278.00768751968064
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-21 08:35:34	59416.358034661105	16.753965903757432	0.06255508959293365	25.4858031367992	0.005	9.117032149728992	6.361305788709945	278.00768751968064
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-25 07:41:35	59420.32055286111	16.350811118601182	0.03405553102493286	25.8288031367992	0.005	9.177883762275949	6.336225156912839	278.2689123672787
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-25 07:41:35	59420.32055286111	16.727755660532335	0.03095274232327938	25.8288031367992	0.005	9.177883762275949	6.336225156912839	278.2689123672787
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-25 07:46:51	59420.32421106111	16.25691410779796	0.032188817858695984	25.8268031367992	0.005	9.177937618990958	6.336202014985016	278.26915442983176
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-25 07:46:51	59420.32421106111	16.675051658151965	0.02637249045073986	25.8268031367992	0.005	9.177937618990958	6.336202014985016	278.26915442983176
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-25 07:56:05	59420.330617361105	16.34391304731212	0.031280484050512314	25.8268031367992	0.005	9.178032052003097	6.336161443405628	278.2695788096313
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-25 07:56:05	59420.330617361105	16.71910473584972	0.0330294705927372	25.8268031367992	0.005	9.178032052003097	6.336161443405628	278.2695788096313
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-25 08:11:57	59420.341632861106	16.760938064096788	0.03519873321056366	25.8258031367992	0.005	9.178194265655668	6.336091724841696	278.27030808136743
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-25 08:11:57	59420.341632861106	16.45891131543956	0.03951441869139671	25.8258031367992	0.005	9.178194265655668	6.336091724841696	278.27030808136743
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-29 07:30:38	59424.31294726111	16.7280880198463	0.01725219376385212	25.7828031367992	0.005	9.233686498463028	6.310972130232758	278.53419842618416
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-29 07:30:38	59424.31294726111	16.361210463999132	0.02126520872116089	25.7828031367992	0.005	9.233686498463028	6.310972130232758	278.53419842618416
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-29 07:35:58	59424.31664866111	16.780241179941516	0.018275223672389984	25.8098031367992	0.005	9.233735264825741	6.310948711282192	278.5344455120219
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-29 07:35:58	59424.31664866111	16.40088288831554	0.02328164502978325	25.8098031367992	0.005	9.233735264825741	6.310948711282192	278.5344455120219
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-29 07:43:52	59424.32213716111	16.359708953379016	0.02335738018155098	25.8098031367992	0.005	9.233807491874337	6.31091402198915	278.53481151128364
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-29 07:43:52	59424.32213716111	16.73300950574718	0.01699996553361416	25.8098031367992	0.005	9.233807491874337	6.31091402198915	278.53481151128364
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-07-29 07:58:32	59424.332318161105	16.367217322824818	0.027526887133717537	25.5808031367992	0.005	9.233941560283299	6.3108496200159605	278.5354910142079
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-07-29 07:58:32	59424.332318161105	16.699443122385365	0.02048363722860813	25.5808031367992	0.005	9.233941560283299	6.3108496200159605	278.5354910142079
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-02 08:45:09	59428.36469616111	16.387798797129015	0.018532566726207733	25.8208031367992	0.005	9.283232828972704	6.285361578525756	278.8056024693519
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-02 08:45:09	59428.36469616111	16.850508224008898	0.02059914730489254	25.8208031367992	0.005	9.283232828972704	6.285361578525756	278.8056024693519
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-02 08:49:47	59428.36791476111	16.941349372385364	0.022188298404216766	25.8188031367992	0.005	9.283268970838808	6.285341247907073	278.8058188766148
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-02 08:49:47	59428.36791476111	16.442546233652454	0.02120359055697918	25.8188031367992	0.005	9.283268970838808	6.285341247907073	278.8058188766148
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-02 09:00:21	59428.37524326111	16.353856025217397	0.01968510076403618	25.8198031367992	0.005	9.283351353922129	6.285294882442116	278.8063124149434
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-02 09:00:21	59428.37524326111	16.778688369272572	0.01880861446261406	25.8198031367992	0.005	9.283351353922129	6.285294882442116	278.8063124149434
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-02 09:39:46	59428.40262226111	16.932427283762316	0.024839667603373528	25.8058031367992	0.005	9.283658482352779	6.285121926635832	278.808153517375
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-02 09:39:46	59428.40262226111	16.453487273691515	0.0234935712069273	25.8058031367992	0.005	9.283658482352779	6.285121926635832	278.808153517375
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-06 07:36:04	59432.31672356111	16.812038276193956	0.019829489290714264	25.8318031367992	0.005	9.323381321352336	6.2603994101917	279.072467398742
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-06 07:36:04	59432.31672356111	16.36031613111339	0.022916994988918304	25.8318031367992	0.005	9.323381321352336	6.2603994101917	279.072467398742
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-06 07:40:41	59432.319925761105	16.774125617502552	0.021095748990774155	25.8278031367992	0.005	9.32341031214162	6.2603791674484075	279.0726847552094
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-06 07:40:41	59432.319925761105	16.349890273569446	0.021963899955153465	25.8278031367992	0.005	9.32341031214162	6.2603791674484075	279.0726847552094
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-06 07:48:41	59432.32547686111	16.786067382334092	0.021711837500333786	25.8258031367992	0.005	9.323460500568077	6.260344089801025	279.0730614051178
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-06 07:48:41	59432.32547686111	16.378576652048448	0.025142600759863853	25.8258031367992	0.005	9.323460500568077	6.260344089801025	279.0730614051178
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-06 07:52:38	59432.32822166111	16.480640120981555	0.030288614332675934	25.8298031367992	0.005	9.323485267393465	6.260326770225519	279.07324737757875
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-06 07:52:38	59432.32822166111	16.961302466867785	0.0331643708050251	25.8298031367992	0.005	9.323485267393465	6.260326770225519	279.07324737757875
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-06 08:07:10	59432.338314161105	16.80075844526134	0.01982489973306656	25.8218031367992	0.005	9.323576407601612	6.260263045959793	279.0739316395443
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-06 08:07:10	59432.338314161105	16.392829978464466	0.020299497991800308	25.8218031367992	0.005	9.323576407601612	6.260263045959793	279.0739316395443
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-10 07:17:03	59436.303514361105	16.729802505014757	0.018695108592510223	25.8258031367992	0.005	9.354573288671551	6.235236400635418	279.3438520956274
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-10 07:17:03	59436.303514361105	16.35090865278087	0.01954149827361107	25.8258031367992	0.005	9.354573288671551	6.235236400635418	279.3438520956274
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-10 07:21:40	59436.306714461105	16.731615439890245	0.020100589841604233	25.8258031367992	0.005	9.354594332660223	6.235216173335769	279.34407121757425
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-10 07:21:40	59436.306714461105	16.38349093580089	0.018411384895443916	25.8258031367992	0.005	9.354594332660223	6.235216173335769	279.34407121757425
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-10 07:36:11	59436.316800261106	16.720552123545033	0.019950302317738533	25.8228031367992	0.005	9.354660552524926	6.235152570613745	279.3447602348389
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-10 07:36:11	59436.316800261106	16.35380903577648	0.02045726217329502	25.8228031367992	0.005	9.354660552524926	6.235152570613745	279.3447602348389
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-10 07:45:28	59436.323241661106	16.719642173288683	0.017972387373447418	25.8208031367992	0.005	9.354702844233246	6.235111897066881	279.34520086523
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-10 07:45:28	59436.323241661106	16.31586409711681	0.01985841616988182	25.8208031367992	0.005	9.354702844233246	6.235111897066881	279.34520086523
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-14 06:33:53	59440.27354046111	16.321454223154408	0.021981893107295036	25.8428031367992	0.005	9.37548050452701	6.2101986846717585	279.61629038780535
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-14 06:33:53	59440.27354046111	16.620386298654896	0.017568374052643776	25.8428031367992	0.005	9.37548050452701	6.2101986846717585	279.61629038780535
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-08-14 06:38:32	59440.276761061104	16.652189284799913	0.02185705117881298	25.8408031367992	0.005	9.375493216592007	6.210178327404374	279.6165128844414
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-14 06:38:32	59440.276761061104	16.32508185529552	0.023714514449238777	25.8408031367992	0.005	9.375493216592007	6.210178327404374	279.6165128844414
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-08-14 06:49:05	59440.28409376111	16.32872338819347	0.0223682951182127	25.8398031367992	0.005	9.375522057636285	6.210132140532672	279.61701769410547
