1948 VII,coma.31p
1947l,coma.31p
1942 I,coma.31p
1941f,coma.31p
1929 I,coma.31p
1929a,coma.31p
32P/1926 V1,coma.32p
Comas Sola 1,coma.32p
1987 XVIII,coma.32p
1986j,coma.32p
1978 XVII,coma.32p
1977n,coma.32p
1969 VIII,coma.32p
1968g,coma.32p
1961 III,coma.32p
1960f,coma.32p
1944 II,coma.32p
1951h,coma.32p
32P/1935 P1,coma.32p
1935 IV,coma.32p
1935c,coma.32p
1927 III,coma.32p
1926f,coma.32p
33P/1909 X1,coma.33p
Daniel 1,coma.33p
1992 XXIII,coma.33p
1992o,coma.33p
1985 XI,coma.33p
1985j,coma.33p
1978 XII,coma.33p
1979b,coma.33p
1964 II,coma.33p
1964a,coma.33p
1950 V,coma.33p
1950d,coma.33p
1943 IV,coma.33p
33P/1937 B1,coma.33p
1937 I,coma.33p
1937a,coma.33p
1909 IV,coma.33p
1909e,coma.33p
34D/1927 L1,coma.34d
Gale 1,coma.34d
34D/1938 J1,coma.34d
1938,coma.34d
1938a,coma.34d
1927 VI,coma.34d
1927f,coma.34d
35P/1939 O1,coma.35p
Herschel-Rigollet 1,coma.35p
1939 VI,coma.35p
1939h,coma.35p
35P/1788 Y1,coma.35p
1788 II,coma.35p
36P/1933 U1,coma.36p
Whipple 1,coma.36p
1994 XXXII,coma.36p
1993n,coma.36p
1986 XII,coma.36p
1985h,coma.36p
1978 VIII,coma.36p
1977h,coma.36p
1970 XIV,coma.36p
1969c,coma.36p
1963 II,coma.36p
1962f,coma.36p
1955 VIII,coma.36p
1955d,coma.36p
36P/1940 R1,coma.36p
1948 VI,coma.36p
1947g,coma.36p
1933 IV,coma.36p
1933f,coma.36p
36P/1925 QD,coma.36p
1926 VIII,coma.36p
37P/1929 P1,coma.37p
Forbes 1,coma.37p
1993 IV,coma.37p
1993f,coma.37p
1987 I,coma.37p
1986g,coma.37p
1980 VI,coma.37p
1980a,coma.37p
1974 IX,coma.37p
1974a,coma.37p
1961 VI,coma.37p
1961a,coma.37p
1948 VIII,coma.37p
1948e,coma.37p
37P/1942 L1,coma.37p
1942 III,coma.37p
1929 II,coma.37p
1929c,coma.37p
38P/1942 V1,coma.38p
Stephan-Oterma 1,coma.38p
38P/1980 L2,coma.38p
1980 X,coma.38p
1980g,coma.38p
1942 IX,coma.38p
38P/1867 B1,coma.38p
1867 I,coma.38p
39P/1943 G1,coma.39p
Oterma 1,coma.39p
39P/2001 P3,coma.39p
1958 IV,coma.39p
1950 III,coma.39p
40P/1939 CB,coma.40p
Vaisala 1,coma.40p
1993 VIII,coma.40p
1992u,coma.40p
1982 V,coma.40p
1981l,coma.40p
1971 VII,coma.40p
1970q,coma.40p
1960 IV,coma.40p
1959i,coma.40p
40P/1949 Y1,coma.40p
1949 V,coma.40p
1949h,coma.40p
1939 IV,coma.40p
1939b,coma.40p
41P/1951 H1,coma.41p
Tuttle-Giacobini-Kresak 1,coma.41p
TGK,coma.41p
1990 II,coma.41p
1989b1,coma.41p
1978 XXV,coma.41p
1978r,coma.41p
1973 VI,coma.41p
1973b,coma.41p
1962 V,coma.41p
1962b,coma.41p
1951 IV,coma.41p
1951f,coma.41p
41P/1907 L1,coma.41p
1907 III,coma.41p
1907c,coma.41p
41P/1858 J1,coma.41p
1858 III,coma.41p
42P/1929 P2,coma.42p
Neujmin 3,coma.42p
1993 XVI,coma.42p
1993j,coma.42p
1972 IV,coma.42p
1972g,coma.42p
42P/1951 J1,coma.42p
1951 V,coma.42p
1951g,coma.42p
1929 III,coma.42p
1929b,coma.42p
43P/1924 Y1,coma.43p
Wolf-Harrington 1,coma.43p
1991 V,coma.43p
1990e,coma.43p
1984 XVII,coma.43p
1984g,coma.43p
1978 VI,coma.43p
1977j,coma.43p
1971 VI,coma.43p
1965 III,coma.43p
1970o,coma.43p
1964g,coma.43p
1958 V,coma.43p
1957g,coma.43p
43P/1951 T2,coma.43p
1952 II,coma.43p
1951k,coma.43p
1924 IV,coma.43p
1924d,coma.43p
44P/1947 R1,coma.44p
Reinmuth 2,coma.44p
1994 XVIII,coma.44p
1993g,coma.44p
1987 XXVI,coma.44p
1987l,coma.44p
1981 III,coma.44p
1980n,coma.44p
1974 VI,coma.44p
1973g,coma.44p
1967 XI,coma.44p
1967e,coma.44p
1960 IX,coma.44p
1960c,coma.44p
44P/1953 N1,coma.44p
1954 VI,coma.44p
1953d,coma.44p
1947 VII,coma.44p
1947j,coma.44p
45P/1948 X1,coma.45p
Honda-Mrkos-Pajdusakova 1,coma.45p
HMP,coma.45p
1990 XIV,coma.45p
1990f,coma.45p
1985 III,coma.45p
1985c,coma.45p
1980 I,coma.45p
1980c,coma.45p
